iter	Passed	Remaining
0	59	59392
1	62	31436
2	67	22426
3	70	17508
4	73	14604
5	76	12614
6	78	11200
7	82	10193
8	85	9398
9	88	8733
10	91	8190
11	97	8011
12	108	8226
13	113	7976
14	116	7673
15	119	7364
16	122	7096
17	125	6855
18	129	6676
19	132	6483
20	135	6302
21	138	6143
22	142	6071
23	146	5943
24	150	5861
25	154	5796
26	159	5740
27	163	5679
28	166	5591
29	170	5498
30	173	5423
31	177	5361
32	180	5289
33	183	5225
34	188	5194
35	193	5183
36	197	5153
37	202	5128
38	212	5239
39	216	5192
40	219	5139
41	224	5122
42	228	5076
43	231	5024
44	234	4987
45	240	4990
46	243	4945
47	248	4926
48	252	4906
49	257	4899
50	260	4852
51	263	4803
52	266	4762
53	269	4714
54	272	4683
55	275	4649
56	278	4610
57	281	4567
58	287	4587
59	302	4740
60	306	4723
61	310	4690
62	313	4663
63	316	4631
64	319	4600
65	322	4568
66	325	4535
67	328	4503
68	331	4469
69	334	4441
70	337	4412
71	341	4404
72	346	4402
73	351	4395
74	354	4377
75	357	4349
76	360	4323
77	363	4296
78	366	4276
79	369	4254
80	372	4230
81	375	4208
82	380	4203
83	384	4188
84	388	4179
85	392	4172
86	402	4225
87	406	4209
88	409	4192
89	412	4173
90	415	4149
91	418	4128
92	420	4104
93	424	4088
94	428	4083
95	431	4065
96	436	4066
97	441	4063
98	447	4068
99	449	4049
100	453	4032
101	457	4023
102	460	4009
103	463	3992
104	466	3973
105	469	3956
106	472	3945
107	485	4009
108	491	4016
109	494	4000
110	496	3980
111	500	3964
112	502	3945
113	505	3930
114	508	3911
115	510	3893
116	513	3874
117	517	3868
118	520	3856
119	523	3841
120	528	3840
121	533	3840
122	538	3841
123	541	3827
124	544	3812
125	547	3794
126	549	3779
127	553	3771
128	556	3758
129	559	3746
130	562	3732
131	568	3735
132	572	3734
133	577	3732
134	582	3731
135	587	3732
136	594	3744
137	601	3756
138	604	3741
139	608	3736
140	617	3761
141	643	3890
142	648	3887
143	652	3878
144	656	3869
145	661	3871
146	685	3976
147	688	3962
148	691	3952
149	694	3935
150	697	3921
151	700	3906
152	702	3890
153	705	3875
154	708	3860
155	710	3844
156	713	3832
157	717	3822
158	722	3823
159	726	3813
160	731	3809
161	733	3795
162	736	3782
163	739	3769
164	742	3755
165	745	3745
166	748	3732
167	751	3719
168	754	3708
169	757	3696
170	761	3689
171	764	3680
172	768	3675
173	771	3663
174	775	3657
175	778	3644
176	781	3632
177	785	3627
178	788	3616
179	791	3607
180	794	3597
181	797	3585
182	800	3573
183	804	3566
184	807	3557
185	811	3549
186	815	3545
187	819	3541
188	825	3541
189	828	3531
190	831	3520
191	833	3508
192	836	3497
193	839	3488
194	842	3477
195	845	3467
196	848	3456
197	851	3448
198	859	3459
199	867	3471
200	872	3468
201	875	3458
202	878	3448
203	881	3440
204	884	3431
205	887	3422
206	890	3412
207	893	3401
208	896	3392
209	899	3382
210	902	3375
211	905	3366
212	910	3363
213	914	3358
214	919	3355
215	922	3346
216	924	3337
217	927	3327
218	930	3318
219	933	3309
220	935	3298
221	938	3287
222	940	3277
223	943	3268
224	945	3258
225	949	3251
226	953	3245
227	957	3241
228	963	3242
229	968	3243
230	972	3238
231	976	3232
232	979	3224
233	982	3216
234	985	3207
235	987	3198
236	990	3190
237	993	3181
238	996	3174
239	999	3166
240	1004	3163
241	1009	3162
242	1014	3159
243	1017	3151
244	1020	3143
245	1022	3134
246	1025	3125
247	1028	3117
248	1031	3110
249	1034	3102
250	1037	3095
251	1043	3098
252	1058	3125
253	1064	3127
254	1067	3119
255	1070	3110
256	1073	3103
257	1077	3097
258	1080	3089
259	1082	3081
260	1085	3073
261	1088	3065
262	1091	3058
263	1094	3051
264	1098	3047
265	1102	3043
266	1108	3044
267	1112	3038
268	1115	3030
269	1118	3023
270	1121	3016
271	1124	3010
272	1127	3002
273	1130	2996
274	1133	2989
275	1137	2982
276	1140	2977
277	1143	2969
278	1148	2968
279	1152	2964
280	1156	2960
281	1159	2952
282	1162	2945
283	1165	2939
284	1170	2935
285	1173	2929
286	1175	2921
287	1178	2913
288	1181	2905
289	1184	2899
290	1187	2892
291	1189	2885
292	1193	2880
293	1197	2876
294	1202	2872
295	1206	2868
296	1209	2862
297	1212	2855
298	1215	2849
299	1218	2843
300	1221	2836
301	1224	2829
302	1227	2823
303	1231	2818
304	1246	2840
305	1253	2842
306	1256	2837
307	1260	2831
308	1264	2827
309	1268	2823
310	1272	2819
311	1276	2813
312	1279	2808
313	1283	2803
314	1287	2800
315	1292	2798
316	1297	2795
317	1301	2791
318	1304	2784
319	1307	2778
320	1310	2771
321	1313	2766
322	1316	2759
323	1319	2753
324	1323	2747
325	1325	2741
326	1329	2735
327	1332	2729
328	1336	2726
329	1341	2723
330	1346	2722
331	1351	2719
332	1355	2715
333	1359	2711
334	1364	2708
335	1369	2705
336	1372	2700
337	1376	2695
338	1379	2689
339	1383	2684
340	1387	2681
341	1392	2678
342	1396	2675
343	1399	2669
344	1402	2663
345	1405	2657
346	1409	2652
347	1411	2645
348	1414	2639
349	1417	2632
350	1421	2627
351	1433	2639
352	1441	2642
353	1445	2637
354	1447	2630
355	1450	2624
356	1453	2618
357	1457	2612
358	1459	2606
359	1462	2599
360	1465	2593
361	1468	2587
362	1471	2582
363	1474	2576
364	1478	2571
365	1483	2570
366	1488	2567
367	1492	2562
368	1494	2556
369	1497	2549
370	1500	2543
371	1502	2537
372	1505	2530
373	1508	2524
374	1510	2517
375	1513	2511
376	1516	2505
377	1519	2500
378	1522	2494
379	1526	2490
380	1531	2488
381	1538	2488
382	1541	2482
383	1544	2478
384	1550	2477
385	1554	2472
386	1557	2467
387	1561	2463
388	1565	2459
389	1568	2453
390	1573	2451
391	1578	2447
392	1583	2444
393	1587	2440
394	1589	2435
395	1592	2429
396	1595	2423
397	1599	2418
398	1602	2413
399	1605	2407
400	1608	2402
401	1615	2403
402	1627	2410
403	1632	2408
404	1635	2402
405	1638	2396
406	1641	2391
407	1644	2386
408	1647	2380
409	1650	2374
410	1652	2368
411	1655	2363
412	1659	2359
413	1663	2354
414	1667	2349
415	1671	2346
416	1675	2342
417	1680	2339
418	1682	2333
